country,place_id,place,infected,doses,fully_vaccinated,booster,date
Bulgaria,1,Благоевград,11,,,,2020-03-30
Bulgaria,1,Благоевград,13,,,,2020-04-01
Bulgaria,1,Благоевград,15,,,,2020-04-02
Bulgaria,1,Благоевград,16,,,,2020-04-05
Bulgaria,1,Благоевград,18,,,,2020-04-06
Bulgaria,1,Благоевград,19,,,,2020-04-14
Bulgaria,1,Благоевград,20,,,,2020-04-16
Bulgaria,1,Благоевград,21,,,,2020-04-19
Bulgaria,1,Благоевград,22,,,,2020-04-22
Bulgaria,1,Благоевград,23,,,,2020-04-23
Bulgaria,1,Благоевград,33,,,,2020-04-24
Bulgaria,1,Благоевград,38,,,,2020-04-25
Bulgaria,1,Благоевград,41,,,,2020-04-26
Bulgaria,1,Благоевград,42,,,,2020-04-28
Bulgaria,1,Благоевград,43,,,,2020-04-29
Bulgaria,1,Благоевград,45,,,,2020-05-01
Bulgaria,1,Благоевград,50,,,,2020-05-02
Bulgaria,1,Благоевград,51,,,,2020-05-03
Bulgaria,1,Благоевград,52,,,,2020-05-04
Bulgaria,1,Благоевград,55,,,,2020-05-05
Bulgaria,1,Благоевград,62,,,,2020-05-06
Bulgaria,1,Благоевград,64,,,,2020-05-07
Bulgaria,1,Благоевград,144,,,,2020-06-07
Bulgaria,1,Благоевград,146,,,,2020-06-08
Bulgaria,1,Благоевград,148,,,,2020-06-09
Bulgaria,1,Благоевград,150,,,,2020-06-11
Bulgaria,1,Благоевград,151,,,,2020-06-13
Bulgaria,1,Благоевград,154,,,,2020-06-18
Bulgaria,1,Благоевград,158,,,,2020-06-19
Bulgaria,1,Благоевград,163,,,,2020-06-20
Bulgaria,1,Благоевград,170,,,,2020-06-21
Bulgaria,1,Благоевград,171,,,,2020-06-22
Bulgaria,1,Благоевград,172,,,,2020-06-23
Bulgaria,1,Благоевград,173,,,,2020-06-24
Bulgaria,1,Благоевград,174,,,,2020-06-25
Bulgaria,1,Благоевград,180,,,,2020-06-26
Bulgaria,1,Благоевград,182,,,,2020-06-27
Bulgaria,1,Благоевград,183,,,,2020-06-28
Bulgaria,1,Благоевград,185,,,,2020-06-29
Bulgaria,1,Благоевград,186,,,,2020-06-30
Bulgaria,1,Благоевград,191,,,,2020-07-01
Bulgaria,1,Благоевград,202,,,,2020-07-02
Bulgaria,1,Благоевград,207,,,,2020-07-03
Bulgaria,1,Благоевград,211,,,,2020-07-04
Bulgaria,1,Благоевград,214,,,,2020-07-05
Bulgaria,1,Благоевград,219,,,,2020-07-06
Bulgaria,1,Благоевград,226,,,,2020-07-07
Bulgaria,1,Благоевград,236,,,,2020-07-08
Bulgaria,1,Благоевград,253,,,,2020-07-09
Bulgaria,1,Благоевград,272,,,,2020-07-10
Bulgaria,1,Благоевград,291,,,,2020-07-11
Bulgaria,1,Благоевград,304,,,,2020-07-12
Bulgaria,1,Благоевград,311,,,,2020-07-13
Bulgaria,1,Благоевград,313,,,,2020-07-14
Bulgaria,1,Благоевград,332,,,,2020-07-15
Bulgaria,1,Благоевград,347,,,,2020-07-16
Bulgaria,1,Благоевград,362,,,,2020-07-17
Bulgaria,1,Благоевград,374,,,,2020-07-18
Bulgaria,1,Благоевград,402,,,,2020-07-19
Bulgaria,1,Благоевград,411,,,,2020-07-20
Bulgaria,1,Благоевград,417,,,,2020-07-21
Bulgaria,1,Благоевград,442,,,,2020-07-22
Bulgaria,1,Благоевград,477,,,,2020-07-23
Bulgaria,1,Благоевград,511,,,,2020-07-24
Bulgaria,1,Благоевград,537,,,,2020-07-25
Bulgaria,1,Благоевград,552,,,,2020-07-26
Bulgaria,1,Благоевград,572,,,,2020-07-27
Bulgaria,1,Благоевград,591,,,,2020-07-28
Bulgaria,1,Благоевград,613,,,,2020-07-29
Bulgaria,1,Благоевград,651,,,,2020-07-30
Bulgaria,1,Благоевград,679,,,,2020-07-31
Bulgaria,1,Благоевград,734,,,,2020-08-01
Bulgaria,1,Благоевград,745,,,,2020-08-02
Bulgaria,1,Благоевград,746,,,,2020-08-03
Bulgaria,1,Благоевград,756,,,,2020-08-04
Bulgaria,1,Благоевград,799,,,,2020-08-05
Bulgaria,1,Благоевград,896,,,,2020-08-06
Bulgaria,1,Благоевград,909,,,,2020-08-07
Bulgaria,1,Благоевград,932,,,,2020-08-08
Bulgaria,1,Благоевград,947,,,,2020-08-09
Bulgaria,1,Благоевград,952,,,,2020-08-10
Bulgaria,1,Благоевград,963,,,,2020-08-11
